class,precision,recall,f1,support
0_10d,0.91,0.9528795811518325,0.9309462915601023,191
11_20d,0.8852459016393442,0.7941176470588235,0.8372093023255814,204
21_30d,0.7696969696969697,0.9338235294117647,0.8438538205980066,136
2m,0.8548387096774194,0.8195876288659794,0.8368421052631579,194
3m,0.8860759493670886,0.8383233532934131,0.8615384615384616,167
4m,0.8957345971563981,0.8590909090909091,0.877030162412993,220
5m,0.8181818181818182,0.7541899441340782,0.7848837209302325,179
6m,0.9079754601226994,0.6577777777777778,0.7628865979381443,225
7m,0.5397727272727273,0.945273631840796,0.6871609403254972,201
8m,0.7231638418079096,0.7071823204419889,0.7150837988826816,181
9m,0.8505747126436781,0.7326732673267327,0.7872340425531915,202
10m,0.8404255319148937,0.8404255319148937,0.8404255319148937,188
11m,0.8540540540540541,0.8102564102564103,0.8315789473684211,195
12m,0.8863636363636364,0.78,0.8297872340425532,200
